Año,Clave cuenca,Clave Región,Región hidrológica,Descripcion,RHA,Clave RHA,Nombre de cuenca,ExtraccionSuperficial,Area,DisponibilidadMediaAnua,EscurrimientoNatural
2004,1215,20,Lerma-Santiago,Desde su origen hasta la EH La Estanzuela,Lerma Santiago Pacífico,VIII,Río Duero,239.1,2198,0,457.8
2004,1216,20,Lerma-Santiago,Desde su origen hasta la EH Zula,Lerma Santiago Pacífico,VIII,Río Zula,31.1,2098,0,181
2004,1217,20,Lerma-Santiago,"Desde las EH Yurecuaro, Estanzuela y Zula hasta el Lago de Chapala",Lerma Santiago Pacífico,VIII,Río Lerma 7,271.5,6644,0,943.9
2004,1218,20,Lerma-Santiago,Cuenca cerrada del Lago de Pátzcuaro,Lerma Santiago Pacífico,VIII,Lago de Pátzcuaro,31.7,1096,8.1,152.3
2004,1219,20,Lerma-Santiago,Cuenca cerrada del Lago de Cuitzeo,Lerma Santiago Pacífico,VIII,Lago de Cuitzeo,200.8,3675,0,452.6
2005,1201,20,Lerma-Santiago,Desde su origen hasta la presa José A Alzate,Lerma Santiago Pacífico,VIII,Río Lerma 1,39.3,2137,0,244.9
2005,1202,20,Lerma-Santiago,Desde su origen hasta la presa Ignacio Ramírez,Lerma Santiago Pacífico,VIII,Río La Gavia,34.4,505,0,98.7
2005,1203,20,Lerma-Santiago,Desde su origen hasta la presa Tepetitlán,Lerma Santiago Pacífico,VIII,Río Jaltepec,21.5,378,0,69
2005,1204,20,Lerma-Santiago,"Desde las presas Alzate, Ramírez y Tepetitlán hasta  la presa Tepuxtepec",Lerma Santiago Pacífico,VIII,Río Lerma 2,104.6,2623,0,460.3
2005,1205,20,Lerma-Santiago,Desde la presa Tepuxtepec hasta la presa Solís,Lerma Santiago Pacífico,VIII,Río Lerma 3,114.4,2895,0,369.1
2005,1206,20,Lerma-Santiago,Desde su origen hasta la presa Ignacio Allende,Lerma Santiago Pacífico,VIII,Río La Laja 1,56.4,4981,0,265.2
2005,1207,20,Lerma-Santiago,Desde su origen hasta la EH Ameche,Lerma Santiago Pacífico,VIII,Río Querétaro,53.8,2255,0,128.9
2005,1208,20,Lerma-Santiago,Desde la presa Ignacio Allende hasta la EH Pericos,Lerma Santiago Pacífico,VIII,Río La Laja 2,227.8,2415,0,80.7
2005,1209,20,Lerma-Santiago,Laguna de Yuriria,Lerma Santiago Pacífico,VIII,Laguna  de Yuriria,109.6,1093,0,116.2
2005,1210,20,Lerma-Santiago,"Desde la presa Solís, la Laguna de Yuríria y la EH Pericos hasta la EH Salamanca",Lerma Santiago Pacífico,VIII,Río Lerma 4,450.9,2751,0,329.4
2005,1211,20,Lerma-Santiago,Desde su origen hasta la EH Las Adjuntas,Lerma Santiago Pacífico,VIII,Río Turbio,152.6,2913,0,163.4
2005,1212,20,Lerma-Santiago,Desde su origen hasta la presa Melchor Ocampo,Lerma Santiago Pacífico,VIII,Río Angulo,101.3,2064,0,284
2005,1213,20,Lerma-Santiago,Desde la presa Melchor Ocampo y las EH Salamanca y las Adjuntas hasta la EH Corrales,Lerma Santiago Pacífico,VIII,Río Lerma 5,443,7143,0,482.1
2005,1214,20,Lerma-Santiago,Desde la EH Corrales hasta la EH Yurecuaro,Lerma Santiago Pacífico,VIII,Río Lerma 6,106.7,2023,0,233.2
2005,1215,20,Lerma-Santiago,Desde su origen hasta la EH La Estanzuela,Lerma Santiago Pacífico,VIII,Río Duero,239.1,2198,0,457.8
2005,1216,20,Lerma-Santiago,Desde su origen hasta la EH Zula,Lerma Santiago Pacífico,VIII,Río Zula,31.1,2098,0,181
2005,1217,20,Lerma-Santiago,"Desde las EH Yurecuaro, Estanzuela y Zula hasta el Lago de Chapala",Lerma Santiago Pacífico,VIII,Río Lerma 7,271.5,6644,0,943.9
2005,1218,20,Lerma-Santiago,Cuenca cerrada del Lago de Pátzcuaro,Lerma Santiago Pacífico,VIII,Lago de Pátzcuaro,31.7,1096,8.1,152.3
2005,1219,20,Lerma-Santiago,Cuenca cerrada del Lago de Cuitzeo,Lerma Santiago Pacífico,VIII,Lago de Cuitzeo,200.8,3675,0,452.6
2005,2801,25,Papaloapan,Desde su nacimiento hasta su confluencia con el Río Grande,Golfo Centro,X,Río Salado,135.05,6857.9,198.54,359.87
2005,2802,25,Papaloapan,Desde su nacimiento hasta su confluencia con el Río Salado,Golfo Centro,X,Río Grande,37.96,5020,522.08,1032.68
2005,2803,25,Papaloapan,Desde su nacimiento hasta las EH Bellaco y Achotal,Golfo Centro,X,Río Trinidad,3.69,5249.4,6728.14,7222.96
2005,2804,25,Papaloapan,Desde su nacimiento hasta su confluencia con el Río Papaloapan,Golfo Centro,X,Río Valle Nacional,2.66,1280,3786.81,3806.78
2005,2805,25,Papaloapan,Desde su nacimiento hasta la EH Azueta,Golfo Centro,X,Río Playa Vicente,4.8,4656,6187.44,6200.84
2005,2806,25,Papaloapan,Desde la unión de los ríos Salado y Grande hasta su confluencia con el Río Papaloapan,Golfo Centro,X,Río Santo Domingo,7133.51,2611,7904.33,6808.3
2005,2807,25,Papaloapan,Desde su nacimiento hasta su confluencia con el Río Papaloapan,Golfo Centro,X,Río Tonto,8523.58,5517.1,9158.62,9627.13
2005,2808,25,Papaloapan,Desde su nacimiento hasta su desembocadura a la Laguna de Alvarado,Golfo Centro,X,Río Blanco,3253.84,3130,1684.65,2607.32
2005,2809,25,Papaloapan,Desde las EH Bellaco y Achotal hasta su confluencia con el Río Papaloapan,Golfo Centro,X,Río San Juan,630.41,3402,8803.47,1632.29
2005,2810,25,Papaloapan,Desde la EH Azueta hasta su confluencia con el Río  Papaloapan,Golfo Centro,X,Río Tesechoacán,0.33,1799,7345.72,1159.98
2005,2811,25,Papaloapan,"Desde la confluencia de los ríos Santo Domingo, Valle Nacional y Tonto con el Río Papaloapan, hasta donde se le une a este último el Río Tesechoacán",Golfo Centro,X,Río Papaloapan,71.1,2493,22404.3,1561.78
2005,2812,25,Papaloapan,"Desde la confluencia de los ríos Tesechoacán y  San Juan  con el Río Papaloapan hasta su desembocadura al Golfo de México, y corrientes que  descargan directamente a la Laguna de Alvarado y Golfo de México",Golfo Centro,X,Llanuras de Papaloapan,63.74,4502,42876.4,2641.97
2006,1001,31,Sinaloa,Desde su nacimiento hasta la presa Luis Donaldo Colosio (Huites),Pacífico Norte,III,Río Fuerte 1,3851,26020,211.1,4162.5
2006,1002,31,Sinaloa,Desde su nacimiento hasta la EH Choix,Pacífico Norte,III,Río Choix,1,1403,15.5,295.9
2006,1003,31,Sinaloa,Desde su nacimiento hasta la EH Cazanate,Pacífico Norte,III,Arroyo Alamos,0,1813,5.7,107.5
2006,1004,31,Sinaloa,Desde la presa Luis Donaldo Colosio y las EH Choix y Cazanate hasta su desembocadura al Golfo de California,Pacífico Norte,III,Río Fuerte 2,7717.8,5326,428.33,610
2006,1005,31,Sinaloa,Desde su nacimiento hasta la presa Adolfo López Mateos,Pacífico Norte,III,Río Humaya,1887.4,10770,243.111,1997.7
2006,1006,31,Sinaloa,Desde su nacimiento hasta la presa Sanalona,Pacífico Norte,III,Río Tamazula,528,3307,113.233,777.1
2006,1007,31,Sinaloa,Desde las presas Adolfo López Mateos y Sanalona hasta su desembocadura al Oceáno Pacífico,Pacífico Norte,III,Río Culiacán,2481.4,2174,456.6,386
2006,1008,31,Sinaloa,Desde su nacimiento hasta la presa Gustavo Díaz Ordaz,Pacífico Norte,III,Río Sinaloa 1,1058.18,7443.4,348.824,1399.98
2006,1009,31,Sinaloa,Desde su nacimiento hasta la presa Guillermo Blake,Pacífico Norte,III,Arroyo Ocoroni,4.3,1429.5,39.3647,169.99
2006,1010,31,Sinaloa,Desde su nacimiento hasta la EH Zopilote,Pacífico Norte,III,Arroyo Cabrera,0.13,633.9,21.4185,80.69
2006,1011,31,Sinaloa,Desde las presas Gustavo Díaz Ordaz y Guillermo Blake y la EH Zopilote hasta su desembocadura al Golfo de California,Pacífico Norte,III,Río Sinaloa 2,1479.91,3395.6,535.959,475.24
2006,1201,20,Lerma-Santiago,Desde su origen hasta la presa José A Alzate,Lerma Santiago Pacífico,VIII,Río Lerma 1,39.3,2137,0,244.9
2006,1202,20,Lerma-Santiago,Desde su origen hasta la presa Ignacio Ramírez,Lerma Santiago Pacífico,VIII,Río La Gavia,34.4,505,0,98.7
2006,1203,20,Lerma-Santiago,Desde su origen hasta la presa Tepetitlán,Lerma Santiago Pacífico,VIII,Río Jaltepec,21.5,378,0,69
2006,1204,20,Lerma-Santiago,"Desde las presas Alzate, Ramírez y Tepetitlán hasta  la presa Tepuxtepec",Lerma Santiago Pacífico,VIII,Río Lerma 2,104.6,2623,0,460.3
2006,1205,20,Lerma-Santiago,Desde la presa Tepuxtepec hasta la presa Solís,Lerma Santiago Pacífico,VIII,Río Lerma 3,114.4,2895,0,369.1
2006,1206,20,Lerma-Santiago,Desde su origen hasta la presa Ignacio Allende,Lerma Santiago Pacífico,VIII,Río La Laja 1,56.4,4981,0,265.2
2006,1207,20,Lerma-Santiago,Desde su origen hasta la EH Ameche,Lerma Santiago Pacífico,VIII,Río Querétaro,53.8,2255,0,128.9
2006,1208,20,Lerma-Santiago,Desde la presa Ignacio Allende hasta la EH Pericos,Lerma Santiago Pacífico,VIII,Río La Laja 2,227.8,2415,0,80.7
2006,1209,20,Lerma-Santiago,Laguna de Yuriria,Lerma Santiago Pacífico,VIII,Laguna  de Yuriria,109.6,1093,0,116.2
2006,1210,20,Lerma-Santiago,"Desde la presa Solís, la Laguna de Yuríria y la EH Pericos hasta la EH Salamanca",Lerma Santiago Pacífico,VIII,Río Lerma 4,450.9,2751,0,329.4
2006,1211,20,Lerma-Santiago,Desde su origen hasta la EH Las Adjuntas,Lerma Santiago Pacífico,VIII,Río Turbio,152.6,2913,0,163.4
2006,1212,20,Lerma-Santiago,Desde su origen hasta la presa Melchor Ocampo,Lerma Santiago Pacífico,VIII,Río Angulo,101.3,2064,0,284
2006,1213,20,Lerma-Santiago,Desde la presa Melchor Ocampo y las EH Salamanca y las Adjuntas hasta la EH Corrales,Lerma Santiago Pacífico,VIII,Río Lerma 5,443,7143,0,482.1
2006,1214,20,Lerma-Santiago,Desde la EH Corrales hasta la EH Yurecuaro,Lerma Santiago Pacífico,VIII,Río Lerma 6,106.7,2023,0,233.2
2006,1215,20,Lerma-Santiago,Desde su origen hasta la EH La Estanzuela,Lerma Santiago Pacífico,VIII,Río Duero,239.1,2198,0,457.8
2006,1216,20,Lerma-Santiago,Desde su origen hasta la EH Zula,Lerma Santiago Pacífico,VIII,Río Zula,31.1,2098,0,181
2006,1217,20,Lerma-Santiago,"Desde las EH Yurecuaro, Estanzuela y Zula hasta el Lago de Chapala",Lerma Santiago Pacífico,VIII,Río Lerma 7,271.5,6644,0,943.9
2006,1218,20,Lerma-Santiago,Cuenca cerrada del Lago de Pátzcuaro,Lerma Santiago Pacífico,VIII,Lago de Pátzcuaro,31.7,1096,8.1,152.3
2006,1219,20,Lerma-Santiago,Cuenca cerrada del Lago de Cuitzeo,Lerma Santiago Pacífico,VIII,Lago de Cuitzeo,200.8,3675,0,452.6
2006,1220,20,Lerma-Santiago,Desde su nacimiento hasta la EC  San Francisco de los Romo,Lerma Santiago Pacífico,VIII,Río San Pedro,15.04,1833,0.08,17.86
2006,1221,20,Lerma-Santiago,Desde el nacimiento del Río Santiago hasta  la presa Plutarco Elías Calles,Lerma Santiago Pacífico,VIII,Presa Calles,2.81,587,0.56,50.18
2006,1222,20,Lerma-Santiago,"Desde la EC San Francisco de los Romo y la presa Plutarco Elías Calles, hasta la presa El Niágara",Lerma Santiago Pacífico,VIII,Presa El Niágara,85.25,3107,1.83,60.6
2006,1223,20,Lerma-Santiago,Desde el nacimiento del Río de Lagos hasta  la Presa El Cuarenta,Lerma Santiago Pacífico,VIII,Presa El Cuarenta,25.93,2357,1.53,50.21
2006,1224,20,Lerma-Santiago,Desde la presa El Cuarenta hasta  la confluencia del Río de Lagos con el Río Verde,Lerma Santiago Pacífico,VIII,Río de Lagos,62.46,2790,13.65,147.44
2006,1225,20,Lerma-Santiago,Desde la presa El Niágara hasta la presa Ajojucar,Lerma Santiago Pacífico,VIII,Presa Ajojucar,15.82,772,3.38,22.3
2006,1226,20,Lerma-Santiago,Desde su nacimiento hasta  la presa Agostadero,Lerma Santiago Pacífico,VIII,Río Grande,1.92,316,1.69,20.24
2006,1227,20,Lerma-Santiago,Desde su nacimiento hasta  su confluencia con el Río Verde,Lerma Santiago Pacífico,VIII,Río Encarnación,38.48,2489,7.85,119.76
2006,1228,20,Lerma-Santiago,Desde las presas Ajojucar y Agostadero hasta la EH Paso del Sabino,Lerma Santiago Pacífico,VIII,Río Aguascalientes,10.36,966,17.7,48.62
2006,1229,20,Lerma-Santiago,Desde su nacimiento  hasta  su confluencia con el Río Verde,Lerma Santiago Pacífico,VIII,Río San Miguel,4.31,1085,7.61,76.52
2006,1230,20,Lerma-Santiago,Desde su nacimiento hasta su confluencia con el Río Verde,Lerma Santiago Pacífico,VIII,Río del Valle,2.13,713,4.13,60.92
2006,1231,20,Lerma-Santiago,"Desde la EH Paso del Sabino y la confluencia de los ríos San Miguel y del Valle con el Río Verde, hasta la EH La Cuña",Lerma Santiago Pacífico,VIII,Río Verde 1,12.09,2197,54.64,117.51
2006,1232,20,Lerma-Santiago,Desde la EH La Cuña hasta su confluencia con el Río  Santiago,Lerma Santiago Pacífico,VIII,Río Verde 2,23.06,1414,77.3,149.55
2006,1233,20,Lerma-Santiago,Desde su nacimiento del Río Palomas hasta  la presa Palomas,Lerma Santiago Pacífico,VIII,Río Palomas,3.17,349,1.59,27.05
2006,1234,20,Lerma-Santiago,Desde el nacimiento del Arroyo Malpaso y la presa Palomas hasta  la presa El Chique,Lerma Santiago Pacífico,VIII,Presa El Chique,39.15,2329,7.45,81.13
2006,1235,20,Lerma-Santiago,Desde la presa El Chique hasta  la presa Achoquen,Lerma Santiago Pacífico,VIII,Río Juchipila 1,73.33,3154,24.22,128.31
2006,1236,20,Lerma-Santiago,Desde la presa Achoquen hasta  la presa La Boquilla,Lerma Santiago Pacífico,VIII,Río Juchipila 2,11.1,2599,61.91,186.05
2006,1237,20,Lerma-Santiago,Desde la presa La Boquilla hasta  su confluencia con el Río Santiago,Lerma Santiago Pacífico,VIII,Río Juchipila 3,0.02,18,62.16,1.18
2006,1238,20,Lerma-Santiago,Desde la salida del Lago de Chapala hasta la EH Las Juntas,Lerma Santiago Pacífico,VIII,Río Santiago 1,2410.76,3126,36.81,408.5
2006,1239,20,Lerma-Santiago,Desde la  EH Las Juntas hasta la EH San Cristóbal II,Lerma Santiago Pacífico,VIII,Río Santiago 2,268.7,1288,299.96,701
2006,1240,20,Lerma-Santiago,Desde la  EH San Cristóbal II hasta la presa Santa Rosa,Lerma Santiago Pacífico,VIII,Presa Santa Rosa,1581.05,1993,781.1,456.1
2006,1241,20,Lerma-Santiago,Desde la  presa Santa Rosa hasta la EH La Yesca,Lerma Santiago Pacífico,VIII,Río Santiago 3,3.3,2342,900.8,328.9
2006,1242,20,Lerma-Santiago,Desde su nacimiento hasta la EH La Gloria,Lerma Santiago Pacífico,VIII,Río Tepetongo,23.62,3113,6.47,76
2006,1243,20,Lerma-Santiago,Desde su nacimiento hasta la EH El Zapote,Lerma Santiago Pacífico,VIII,Río Tlaltenango,46.09,2577,60.68,226.7
2006,1244,20,Lerma-Santiago,Desde su nacimiento hasta la EH La Florida,Lerma Santiago Pacífico,VIII,Arroyo Lobatos,11.74,1741,16.13,57.8
2006,1245,20,Lerma-Santiago,Desde las EH El Zapote y La Florida  hasta la EH Bolaños,Lerma Santiago Pacífico,VIII,Río Bolaños 1,10.6,4603,209.32,359.8
2006,1246,20,Lerma-Santiago,Desde la EH Bolaños hasta la EH El Caimán,Lerma Santiago Pacífico,VIII,Río Bolaños 2,1,2907,304.69,261.4
2006,1247,20,Lerma-Santiago,Desde su nacimiento hasta la EH El Platanito,Lerma Santiago Pacífico,VIII,Río San Juan,0.9,5743,149.55,410.4
2006,1248,20,Lerma-Santiago,Desde la EH El Platanito hasta donde se le une el Río Huajimic,Lerma Santiago Pacífico,VIII,Río Atengo,1.5,6186,282.22,363.3
2006,1249,20,Lerma-Santiago,Desde su nacimiento hasta donde se le unen los arroyos Tempisque y Los Leones,Lerma Santiago Pacífico,VIII,Río Jesús María,0.1,3114,78.89,215.7
2006,1250,20,Lerma-Santiago,Desde donde se le unen al Río Jesús María los arroyos Tempisque y Los Leones  hasta la EH Huaynamota II,Lerma Santiago Pacífico,VIII,Río Huaynamota,2.07,2562,604.65,665.6
2006,1251,20,Lerma-Santiago,Desde las EH La Yesca y El Caimán hasta donde se le une el Río Huaynamota,Lerma Santiago Pacífico,VIII,Río Santiago 4,12.1,4035,1479.21,749.4
2006,1252,20,Lerma-Santiago,Desde se une el Río Huaynamota hasta su desembocadura al Océano Pacífico,Lerma Santiago Pacífico,VIII,Río Santiago 5,10431.5,2315,6318.64,1202.8
2006,2801,25,Papaloapan,Desde su nacimiento hasta su confluencia con el Río Grande,Golfo Centro,X,Río Salado,135.05,6857.9,198.54,359.87
2006,2802,25,Papaloapan,Desde su nacimiento hasta su confluencia con el Río Salado,Golfo Centro,X,Río Grande,37.96,5020,522.08,1032.68
2006,2803,25,Papaloapan,Desde su nacimiento hasta las EH Bellaco y Achotal,Golfo Centro,X,Río Trinidad,3.69,5249.4,6728.14,7222.96
2006,2804,25,Papaloapan,Desde su nacimiento hasta su confluencia con el Río Papaloapan,Golfo Centro,X,Río Valle Nacional,2.66,1280,3786.81,3806.78
2006,2805,25,Papaloapan,Desde su nacimiento hasta la EH Azueta,Golfo Centro,X,Río Playa Vicente,4.8,4656,6187.44,6200.84
2006,2806,25,Papaloapan,Desde la unión de los ríos Salado y Grande hasta su confluencia con el Río Papaloapan,Golfo Centro,X,Río Santo Domingo,7133.51,2611,7904.33,6808.3
2006,2807,25,Papaloapan,Desde su nacimiento hasta su confluencia con el Río Papaloapan,Golfo Centro,X,Río Tonto,8523.58,5517.1,9158.62,9627.13
2006,2808,25,Papaloapan,Desde su nacimiento hasta su desembocadura a la Laguna de Alvarado,Golfo Centro,X,Río Blanco,3253.84,3130,1684.65,2607.32
2006,2809,25,Papaloapan,Desde las EH Bellaco y Achotal hasta su confluencia con el Río Papaloapan,Golfo Centro,X,Río San Juan,630.41,3402,8803.47,1632.29
2006,2810,25,Papaloapan,Desde la EH Azueta hasta su confluencia con el Río  Papaloapan,Golfo Centro,X,Río Tesechoacán,0.33,1799,7345.72,1159.98
2006,2811,25,Papaloapan,"Desde la confluencia de los ríos Santo Domingo, Valle Nacional y Tonto con el Río Papaloapan, hasta donde se le une a este último el Río Tesechoacán",Golfo Centro,X,Río Papaloapan,71.1,2493,22404.3,1561.78
2006,2812,25,Papaloapan,"Desde la confluencia de los ríos Tesechoacán y  San Juan  con el Río Papaloapan hasta su desembocadura al Golfo de México, y corrientes que  descargan directamente a la Laguna de Alvarado y Golfo de México",Golfo Centro,X,Llanuras de Papaloapan,63.74,4502,42876.4,2641.97
2006,3082,19,Grijalva-Usumacinta,Desde su origen en territorio mexicano hasta la estación hidrométrica Candelaria.,Península de Yucatán,XII,Alto Río Candelaria,6.19,8070,1607.41,1354.16
2006,3083,19,Grijalva-Usumacinta,Desde la estación hidrométrica Candelaria hasta su desembocadura a la Laguna de Términos.,Península de Yucatán,XII,Bajo Río Candelaria,1.43,1866,2002.8,395.67
2006,3101,37,Yucatán Oeste,Desde su nacimiento hasta la estación hidrométrica Canasayab.,Península de Yucatán,XII,Río Champotón 1,0.049,259,483.913,483.98
2006,3102,37,Yucatán Oeste,Desde la estación hidrométrica Canasayab hasta su desembocadura al Golfo de México.,Península de Yucatán,XII,Río Champotón 2,0.022,391,590.558,106.65
2006,3301,35,Yucatán Este,Desde su nacimiento hasta su desembocadura al Río Hondo.,Península de Yucatán,XII,Río Escondido,0.02,4582,591.9,592.1
2007,1001,31,Sinaloa,Desde su nacimiento hasta la presa Luis Donaldo Colosio (Huites),Pacífico Norte,III,Río Fuerte 1,3851,26020,211.1,4162.5
2007,1002,31,Sinaloa,Desde su nacimiento hasta la EH Choix,Pacífico Norte,III,Río Choix,1,1403,15.5,295.9
2007,1003,31,Sinaloa,Desde su nacimiento hasta la EH Cazanate,Pacífico Norte,III,Arroyo Alamos,0,1813,5.7,107.5
2007,1004,31,Sinaloa,Desde la presa Luis Donaldo Colosio y las EH Choix y Cazanate hasta su desembocadura al Golfo de California,Pacífico Norte,III,Río Fuerte 2,7717.8,5326,428.33,610
2007,1005,31,Sinaloa,Desde su nacimiento hasta la presa Adolfo López Mateos,Pacífico Norte,III,Río Humaya,1887.4,10770,243.111,1997.7
2007,1006,31,Sinaloa,Desde su nacimiento hasta la presa Sanalona,Pacífico Norte,III,Río Tamazula,528,3307,113.233,777.1
2007,1007,31,Sinaloa,Desde las presas Adolfo López Mateos y Sanalona hasta su desembocadura al Oceáno Pacífico,Pacífico Norte,III,Río Culiacán,2481.4,2174,456.6,386
2007,1008,31,Sinaloa,Desde su nacimiento hasta la presa Gustavo Díaz Ordaz,Pacífico Norte,III,Río Sinaloa 1,1058.18,7443.4,348.824,1399.98
2007,1009,31,Sinaloa,Desde su nacimiento hasta la presa Guillermo Blake,Pacífico Norte,III,Arroyo Ocoroni,4.3,1429.5,39.3647,169.99
2007,101,6,B.C. Noroeste,Desde el nacimiento del río Tijuana hasta su desembocadura al Océano Pacífico.,Península de Baja California,I,Tijuana,208.734,3218.9,7.196,77.778
2007,1010,31,Sinaloa,Desde su nacimiento hasta la EH Zopilote,Pacífico Norte,III,Arroyo Cabrera,0.13,633.9,21.4185,80.69
2007,1011,31,Sinaloa,Desde las presas Gustavo Díaz Ordaz y Guillermo Blake y la EH Zopilote hasta su desembocadura al Golfo de California,Pacífico Norte,III,Río Sinaloa 2,1479.91,3395.6,535.959,475.24
2007,1012,31,Sinaloa,Desde su nacimiento hasta la EH Acatitán,Pacífico Norte,III,Río Habitas,0.727,1839.22,91.825,376.441
2007,1013,31,Sinaloa,Desde la EH Acatitán hasta su desembocadura al Océano Pacífico,Pacífico Norte,III,Río Elota,308.332,519.259,117.352,92.598
